
RECORD:;Start date :; 15/12/2020  16:21:21 ;End date :; 15/12/2020  16:22:34 ;Time [hh:mm:ss]:;00:01:12;Frequency [Hz] :;100;Period [ms] :;10.0;Numbers of points :;7296;Sensor number :;3;

;Sensor No1;;;;;;;;;;;;;;;Sensor No2;;;;;;;;;;;;;;;Sensor No3;;;;;;;;;;;;;;;

Time [s];AccX_0 [g];AccY_0 [g];AccZ_0 [g];GyrX_0 [deg/s];GyrY_0 [deg/s];GyrZ_0 [deg/s];AngRX_0 [deg];AngRY_0 [deg];AngRZ_0 [deg];AngCX_0 [deg];AngCY_0 [deg];AngCZ_0 [deg];AccAX_0 [deg/s2];AccAY_0 [deg/s2];AccAZ_0 [deg/s2];AccX_1 [g];AccY_1 [g];AccZ_1 [g];GyrX_1 [deg/s];GyrY_1 [deg/s];GyrZ_1 [deg/s];AngRX_1 [deg];AngRY_1 [deg];AngRZ_1 [deg];AngCX_1 [deg];AngCY_1 [deg];AngCZ_1 [deg];AccAX_1 [deg/s2];AccAY_1 [deg/s2];AccAZ_1 [deg/s2];AccX_2 [g];AccY_2 [g];AccZ_2 [g];GyrX_2 [deg/s];GyrY_2 [deg/s];GyrZ_2 [deg/s];AngRX_2 [deg];AngRY_2 [deg];AngRZ_2 [deg];AngCX_2 [deg];AngCY_2 [deg];AngCZ_2 [deg];AccAX_2 [deg/s2];AccAY_2 [deg/s2];AccAZ_2 [deg/s2]
0,000;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,010;0,89;0,04;-0,13;2,45;-72,17;-3,99;0,01225;-0,36084998;-0,019949999;1,5078547;-4,8256936;2,2341447;112,0;-3612,0;-192,5;0,84;-0,02;-0,52;-2,8;-44,03;-0,35;-0,0139999995;-0,22015;-0,0017499999;2,8610258;-2,317333;-0,14048697;-87,5;-2089,5;14,0;-0,03;0,98;0,15;0,21;17,5;7,98;0,00105;0,0875;0,039899997;3,0232525;2,969985;-2,6055737;28,0;931,00006;430,5
0,020;0,91;0,03;-0,14;2,24;-72,24;-3,85;0,0357;-1,0829;-0,05915;1,532029;-5,5746984;2,1922565;87,49999;-140,00015;41,999996;0,84;-0,02;-0,52;-1,75;-41,79;0,28;-0,03675;-0,64925;-0,0021;2,8351903;-2,7669942;-0,14760448;70,0;168,00003;24,500002;-0,04;0,98;0,13;0,56;18,62;8,61;0,0048999996;0,2681;0,12284999;3,0681648;3,134102;-2,5099401;-10,5;143,50005;139,99998
0,030;0,92;0,02;-0,13;4,2;-74,97;-3,15;0,0679;-1,8189499;-0,09415;1,5649533;-6,3377028;2,1545684;108,49999;-283,5003;94,49999;0,84;-0,01;-0,51;-1,4;-40,67;0,14;-0,052500002;-1,0615499;0,0;2,8163552;-3,199855;-0,15227199;42,0;-3,4999847;14,0;-0,03;0,99;0,12;0,0;20,37;10,78;0,0076999995;0,46305;0,2198;3,112027;3,3125691;-2,4003065;-84,00001;108,50001;161,00002
0,040;0,92;0,02;-0,11;4,41;-77,91;-1,96;0,11095;-2,58335;-0,1197;1,6087277;-7,129058;2,1263304;-80,5;-161,00006;70,00001;0,83;-0,01;-0,5;-0,91;-41,86;0,56;-0,064050004;-1,4741999;0,0034999999;2,80172;-3,6330662;-0,15553948;-17,500002;-45,500183;7,0;-0,03;1,0;0,14;-1,12;20,79;11,83;0,0020999997;0,66885;0,33284998;3,1474893;3,5018864;-2,2745728;-91,00001;27,999973;-42,000008
0,050;0,9;0,03;-0,08;2,59;-78,19;-1,75;0,14595;-3,3638499;-0,13825;1,644452;-7,936512;2,1050925;-182,0;42,0002;-24,500002;0,83;-0,02;-0,5;-1,75;-41,58;0,28;-0,077350006;-1,8913999;0,0077;2,7853348;-4,0708275;-0,158107;-133,0;13,999939;-28,0;-0,02;0,98;0,14;-1,82;20,93;9,94;-0,012600001;0,87745;0,44169998;3,1738517;3,6940036;-2,1530395;-87,49999;87,5;-262,5
0,060;0,91;0,03;-0,08;0,77;-77,07;-2,45;0,16275;-4,14015;-0,15924999;1,6619763;-8,739767;2,0814042;-87,5;140,00015;-63,0;0,83;-0,02;-0,51;-3,57;-41,58;0,0;-0,10395;-2,3072;0,009099999;2,7556493;-4,5071883;-0,1634745;-192,5;0,0;-63,0;-0,02;0,98;0,15;-2,87;22,54;6,58;-0,03605;1,0948;0,5243;3,191464;3,8948708;-2,057756;66,5;45,499992;-223,99998
0,070;0,91;0,02;-0,06;0,84;-75,39;-3,01;0,1708;-4,90245;-0,18654999;1,6707506;-9,529021;2,0514164;45,5;104,99992;-31,499994;0,83;-0,03;-0,5;-5,6;-41,58;-0,98;-0,1498;-2,723;0,0041999994;2,7067142;-4,943549;-0,17514202;-115,500015;73,50006;-80,5;-0,06;0,99;0,15;-0,49;21,84;5,46;-0,05285;1,3167;0,58449996;3,2157264;4,100288;-1,9848722;111,99999;34,999943;-101,49999
0,080;0,93;0,01;-0,06;1,68;-74,97;-3,08;0,1834;-5,65425;-0,217;1,684075;-10,3077755;2,0182781;-13,999999;-49,000168;-3,4999967;0,84;-0,03;-0,5;-5,88;-40,11;-1,61;-0,20719999;-3,1314502;-0,008750001;2,6462288;-5,3725605;-0,19485953;-24,500013;45,500183;-59,500004;-0,09;0,98;0,14;-0,63;23,24;4,55;-0,05845;1,5421;0,63455;3,2511885;4,309205;-1,9221386;-24,500002;-217,00002;-31,500006
0,090;0,91;0,0;-0,01;0,56;-76,37;-3,08;0,1946;-6,41095;-0,2478;1,6959993;-11,091431;1,9847902;-10,499996;-90,999985;45,499992;0,85;-0,02;-0,49;-6,09;-40,67;-2,17;-0,26705;-3,53535;-0,027650002;2,5832937;-5,797022;-0,22052702;-10,500002;-150,49992;-52,500004;-0,09;0,98;0,15;-0,98;17,5;4,83;-0,0665;1,7457999;0,68144995;3,284201;4,4964223;-1,862555;-3,4999998;-570,5;0,0
